STATE,year,total_damage,event_count,home_value,disaster_count,population,housing_units,exposure,damage_per_capita,risk_score,norm_damage,norm_events,norm_fema,norm_exposure,risk_score_norm,next_risk
IDAHO,2023,87795000.0,32,393200.0340041697,0.0,1839106.0,751859.0,295630984366.341,47.737868290354115,59170094379.668205,0.004728491035721901,0.03636363636363636,0.0,0.03338076413524253,0.019178352927588793,0.018458021723408817
IDAHO,2025,49284000.0,30,409037.445347283,1.0,1839106.0,751859.0,307538484621.36285,26.797802845512983,61532338930.372574,0.0026543533481920177,0.03409090909090909,0.0016051364365971107,0.03472528307430161,0.018458021723408817,
ILLINOIS,2015,59606000.0,182,117960.80254636973,0.0,12812508.0,5426429.0,640105919800.8945,4.652172704984848,128050986996.5789,0.003210278907400645,0.20681818181818182,0.0,0.07227667551912699,0.06433075058233473,0.04782951505445939
ILLINOIS,2016,11346000.0,112,120395.5090422727,0.0,12812508.0,5426429.0,653317681736.7507,0.885540910491529,130669209369.75015,0.0006110764769212448,0.12727272727272726,0.0,0.07376846336381815,0.04782951505445939,0.07181260518305145
ILLINOIS,2017,24692000.0,217,119481.2028768938,0.0,12812508.0,5426429.0,648356264246.0599,1.9271792844929345,129683598892.61198,0.0013298695899999452,0.24659090909090908,0.0,0.07320825176289886,0.07181260518305145,0.07071051324572558
ILLINOIS,2018,133477000.0,200,121754.97186230698,0.0,12812508.0,5426429.0,660694710207.8066,10.41771056845389,132205680581.56134,0.007188846722194341,0.22727272727272727,0.0,0.07460143034100798,0.07071051324572558,0.10045608888572771
ILLINOIS,2019,50826000.0,317,124153.36861112317,28.0,12812508.0,5426429.0,673709439879.0885,3.96690484017649,134767301042.0177,0.0027374028746694158,0.36022727272727273,0.0449438202247191,0.07607097055977832,0.10045608888572771,0.1061864855051619
ILLINOIS,2020,11798000.0,216,131091.49414796068,204.0,12812508.0,5426429.0,711358685497.8241,0.9208189372447612,142277636163.16483,0.0006354204366928297,0.24545454545454545,0.3274478330658106,0.08032208310998203,0.1061864855051619,0.05849751022455198
ILLINOIS,2021,8656000.0,133,140557.20415231807,14.0,12812508.0,5426429.0,762723688771.0592,0.6755898220707452,152549065782.21185,0.00046619760128946723,0.15113636363636362,0.02247191011235955,0.0861218914850917,0.05849751022455198,0.05273828362727256
ILLINOIS,2022,962000.0,111,148680.60284850473,1.0,12812508.0,5426429.0,806804735034.6086,0.07508287994825057,161361428029.2217,5.181170199173608e-05,0.12613636363636363,0.0016051364365971107,0.0910992419184781,0.05273828362727256,0.08089366779347104
ILLINOIS,2023,2040000.0,216,152691.28017231773,23.0,12812508.0,5426429.0,828568390774.19,0.15921941278007398,165714698200.338,0.00010987096888060457,0.24545454545454545,0.03691813804173355,0.09355665503612118,0.08089366779347104,0.07881453713536919
